Mass of Precursor A (g),Solution Volume (ml),Reaction Temperature (°C),Reaction Time(h),Ramp Rate (°C/min),pH Value,Photoluminescence Quantum Yield
1,30,200,2,2,1,0
1,30,200,2,2,12,0
1,30,200,2,2,13,0
1,30,200,2,2,14,0
1,30,180,1,5,1,0
1,30,200,1,5,12,0
1,30,200,1,5,13,0
1,30,200,1,5,14,0
1,35,200,1,5,7,0
1,40,200,1,5,7,0
6.8,50,20,1,15,7,0
7,50,0,1,15,7,0
17,50,60,0.01,15,7,0
0.1,50,290,1,15,7,0
0.01,50,300,1,15,7,0
2,20,180,5,5,1,0
1,10,160,1,5,1,0
1,10,160,1,5,13,0
1,10,160,1,5,14,0
2,40,20,1,10,7,0
2,50,200,2,5,1,0
2,50,200,2,5,13,0
2,50,200,2,5,14,0
